"feature_set","factor","pval","padj","sign","view"
"GOCC_BLOOD_MICROPARTICLE","Factor1",5.84449727603899e-18,3.50085386834735e-15,"positive","Proteomics"
"GOCC_VESICLE_LUMEN","Factor1",8.47835476501611e-10,2.53926725212232e-07,"positive","Proteomics"
"GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY","Factor1",1.32191263793334e-08,1.97956417530518e-06,"positive","Proteomics"
"GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY","Factor1",1.0500097783032e-08,1.97956417530518e-06,"positive","Proteomics"
"GOBP_ACUTE_PHASE_RESPONSE","Factor1",1.83050866573356e-08,2.19294938154881e-06,"positive","Proteomics"
"GOMF_ENZYME_INHIBITOR_ACTIVITY","Factor1",3.63408440522474e-08,3.6280275978827e-06,"positive","Proteomics"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE","Factor1",7.64569341166929e-08,6.54252907655701e-06,"positive","Proteomics"
"GOBP_DEFENSE_RESPONSE","Factor1",1.07311208992234e-07,7.14215713181647e-06,"positive","Proteomics"
"GOBP_INFLAMMATORY_RESPONSE","Factor1",1.06185719121893e-07,7.14215713181647e-06,"positive","Proteomics"
"GOMF_PEPTIDASE_REGULATOR_ACTIVITY","Factor1",1.68615855311003e-07,1.01000897331291e-05,"positive","Proteomics"
"GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY","Factor1",2.59882948294224e-07,1.41518078207491e-05,"positive","Proteomics"
"GOBP_DEFENSE_RESPONSE_TO_BACTERIUM","Factor1",2.81729221134566e-06,0.000129812156507388,"positive","Proteomics"
"GOCC_PLATELET_ALPHA_GRANULE_LUMEN","Factor1",2.60614166810646e-06,0.000129812156507388,"positive","Proteomics"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","Factor1",1.395811750134e-05,0.000597208027378762,"positive","Proteomics"
"GOCC_PLATELET_ALPHA_GRANULE","Factor1",2.16088305834804e-05,0.000862912634633652,"positive","Proteomics"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","Factor1",2.94971639519764e-05,0.00105229435911386,"positive","Proteomics"
"GOBP_RESPONSE_TO_BACTERIUM","Factor1",3.16215333289642e-05,0.00105229435911386,"positive","Proteomics"
