"feature_set","factor","pval","padj","sign","view"
"GOBP_ORGANIC_ANION_TRANSPORT","Factor1",4.16302803482632e-09,4.85825371664232e-06,"negative","Redox"
"GOBP_ORGANIC_ACID_TRANSPORT","Factor1",1.4377272737024e-06,0.000648997376755226,"negative","Redox"
"GOMF_LYASE_ACTIVITY","Factor1",1.66837371916511e-06,0.000648997376755226,"negative","Redox"
"GOBP_LIPID_LOCALIZATION","Factor1",4.91698710129054e-05,0.0143453098680151,"negative","Redox"
"GOBP_AUTOPHAGY_OF_MITOCHONDRION","Factor1",0.000112426041808166,0.0196722154705044,"negative","Redox"
"GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE","Factor1",0.000119351239550332,0.0196722154705044,"negative","Redox"
"GOCC_BLOOD_MICROPARTICLE","Factor1",0.000134856661323081,0.0196722154705044,"negative","Redox"
"GOMF_CARBON_OXYGEN_LYASE_ACTIVITY","Factor1",0.000127615105956209,0.0196722154705044,"negative","Redox"
"GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS","Factor1",0.000158171607024417,0.0205095850441661,"negative","Redox"
"GOBP_CELLULAR_OXIDANT_DETOXIFICATION","Factor1",0.000305378404101926,0.0296980497989124,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS","Factor1",0.000262383997488228,0.0296980497989124,"negative","Redox"
"GOBP_PROTEIN_TARGETING_TO_MEMBRANE","Factor1",0.000293918564307197,0.0296980497989124,"negative","Redox"
"GOBP_MONOCARBOXYLIC_ACID_TRANSPORT","Factor1",0.00037573705747624,0.031302033213558,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_TRANSPORT","Factor1",0.000455985059666226,0.031302033213558,"negative","Redox"
"GOBP_REGULATION_OF_LIPID_LOCALIZATION","Factor1",0.000419806549707869,0.031302033213558,"negative","Redox"
"GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT","Factor1",0.000444413172972644,0.031302033213558,"negative","Redox"
"GOMF_HYDRO_LYASE_ACTIVITY","Factor1",0.00035328915873236,0.031302033213558,"negative","Redox"
"GOCC_MEMBRANE_PROTEIN_COMPLEX","Factor1",0.000554905927384524,0.034117270946376,"negative","Redox"
"GOCC_OUTER_MEMBRANE","Factor1",0.000581705924581143,0.034117270946376,"negative","Redox"
"GOMF_TRANSPORTER_ACTIVITY","Factor1",0.00058470044466797,0.034117270946376,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","Factor1",0.000659949054649959,0.036674311751262,"negative","Redox"
"RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS","Factor1",3.14845061171646e-05,0.0367424186387311,"positive","Redox"
"GOBP_CHEMICAL_HOMEOSTASIS","Factor1",0.000751427049479897,0.0398597893974109,"negative","Redox"
"GOBP_CELLULAR_HOMEOSTASIS","Factor1",0.000798769974983569,0.0399128433005419,"negative","Redox"
"GOMF_SALT_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",0.00136680039286153,0.0638022423387763,"negative","Redox"
"GOBP_FATTY_ACID_TRANSPORT","Factor1",0.00162568975240155,0.0695160001966859,"negative","Redox"
"GOBP_ORGANELLE_DISASSEMBLY","Factor1",0.00166790745973197,0.0695160001966859,"negative","Redox"
"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","Factor1",0.00163552443269402,0.0695160001966859,"negative","Redox"
"GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS","Factor1",0.00172952424129649,0.0695984410204483,"negative","Redox"
"GOBP_MAPK_CASCADE","Factor1",0.00201879021564325,0.0713917630804749,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","Factor1",0.00200819297803144,0.0713917630804749,"negative","Redox"
"GOBP_REGULATION_OF_TRANSPORT","Factor1",0.00201609835728102,0.0713917630804749,"negative","Redox"
