"feature_set","factor","pval","padj","sign","view"
"GOCC_MITOCHONDRIAL_ENVELOPE","Factor1",2.40015226076364e-10,2.60416520292855e-07,"positive","Proteomics"
"GOCC_ENVELOPE","Factor1",6.25201721343977e-09,3.39171933829108e-06,"positive","Proteomics"
"GOMF_ANTIPORTER_ACTIVITY","Factor1",1.55613751404477e-08,5.62803067579527e-06,"positive","Proteomics"
"GOCC_ORGANELLE_INNER_MEMBRANE","Factor1",7.80911565770474e-08,2.11822262215241e-05,"positive","Proteomics"
"GOMF_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",1.42101110494934e-07,3.08359409774007e-05,"positive","Proteomics"
"GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS","Factor1",4.25320061425113e-07,7.69120444410413e-05,"positive","Proteomics"
"GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",1.14744852513101e-06,0.000177854521395307,"positive","Proteomics"
"GOBP_ORGANIC_ANION_TRANSPORT","Factor1",1.28418629400242e-05,0.00162178171363915,"positive","Proteomics"
"GOMF_SALT_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",1.345256720991e-05,0.00162178171363915,"positive","Proteomics"
"GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS","Factor1",2.96154579954011e-05,0.00321327719250102,"positive","Proteomics"
"GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT","Factor1",3.571745241251e-05,0.00321931458206829,"positive","Proteomics"
"GOBP_TRANSMEMBRANE_TRANSPORT","Factor1",3.37948853297957e-05,0.00321931458206829,"positive","Proteomics"
"GOCC_MITOCHONDRION","Factor1",3.85724327805417e-05,0.00321931458206829,"positive","Proteomics"
"GOMF_LYASE_ACTIVITY","Factor1",4.25479007363752e-05,0.00329746230706908,"positive","Proteomics"
"GOBP_MITOCHONDRIAL_TRANSPORT","Factor1",8.48924443876126e-05,0.00575676888503498,"positive","Proteomics"
"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","Factor1",8.35434020621595e-05,0.00575676888503498,"positive","Proteomics"
"GOMF_TRANSPORTER_ACTIVITY","Factor1",0.000114752704651528,0.00732392262040632,"positive","Proteomics"
"GOBP_ATP_METABOLIC_PROCESS","Factor1",0.000165479147080969,0.00944973024120273,"positive","Proteomics"
